a-hydrocort	A-HYDROCORT
bupivacaine hydrochloride	BUPIVACAINE HYDROCHLORIDE
bupivacaine hydrochloride and epinephrine	BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE
bupivacaine hydrochloride preservative free	BUPIVACAINE HYDROCHLORIDE PRESERVATIVE FREE
bupivacaine liposome	BUPIVACAINE LIPOSOME
buprenorphine	BUPRENORPHINE
buprenorphine hydrochloride	BUPRENORPHINE HYDROCHLORIDE
buprenorphine hydrochloride and naloxone hydrochloride	BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE
bupropion hydrobromide	BUPROPION HYDROBROMIDE
bupropion hydrochloride	BUPROPION HYDROCHLORIDE
burosumab-twza	BUROSUMAB-TWZA
buspirone hydrochloride	BUSPIRONE HYDROCHLORIDE
busulfan	BUSULFAN
butabarbital	BUTABARBITAL
butabarbital sodium	BUTABARBITAL SODIUM
butalbital	BUTALBITAL
butalbital and acetaminophen	BUTALBITAL AND ACETAMINOPHEN
butalbital, acetaminophen and caffeine	BUTALBITAL, ACETAMINOPHEN AND CAFFEINE
butalbital, acetaminophen, caffeine and codeine phosphate	BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE
butalbital, aspirin and caffeine	BUTALBITAL, ASPIRIN AND CAFFEINE
